Suburb,Price,Method,Date,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,1480000,S,3/12/2016,Yarra,-37.7996,144.9984,Northern Metropolitan,4019
Abbotsford,1035000,S,4/02/2016,Yarra,-37.8079,144.9934,Northern Metropolitan,4019
Abbotsford,1465000,SP,4/03/2017,Yarra,-37.8093,144.9944,Northern Metropolitan,4019
Abbotsford,850000,PI,4/03/2017,Yarra,-37.7969,144.9969,Northern Metropolitan,4019
Abbotsford,1600000,VB,4/06/2016,Yarra,-37.8072,144.9941,Northern Metropolitan,4019
Abbotsford,941000,S,7/05/2016,Yarra,-37.8041,144.9953,Northern Metropolitan,4019
Abbotsford,1876000,S,7/05/2016,Yarra,-37.8024,144.9993,Northern Metropolitan,4019
Abbotsford,1636000,S,8/10/2016,Yarra,-37.806,144.9954,Northern Metropolitan,4019
Abbotsford,300000,S,8/10/2016,Yarra,-37.8008,144.9973,Northern Metropolitan,4019
Abbotsford,1097000,S,8/10/2016,Yarra,-37.801,144.9989,Northern Metropolitan,4019
Abbotsford,700000,VB,12/11/2016,Yarra,-37.811,145.0067,Northern Metropolitan,4019
Abbotsford,1350000,VB,12/11/2016,Yarra,-37.8085,144.9964,Northern Metropolitan,4019
Abbotsford,750000,S,12/11/2016,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,1172500,S,13/08/2016,Yarra,-37.8084,144.9973,Northern Metropolitan,4019
Abbotsford,441000,SP,14/05/2016,Yarra,-37.8016,144.9988,Northern Metropolitan,4019
Abbotsford,1310000,S,15/10/2016,Yarra,-37.809,144.9976,Northern Metropolitan,4019
Abbotsford,1200000,S,16/07/2016,Yarra,-37.8056,144.993,Northern Metropolitan,4019
Abbotsford,1176500,S,16/07/2016,Yarra,-37.8021,144.9965,Northern Metropolitan,4019
Abbotsford,955000,S,17/09/2016,Yarra,-37.8022,144.9975,Northern Metropolitan,4019
Abbotsford,890000,S,17/09/2016,Yarra,-37.8011,145.0004,Northern Metropolitan,4019
Abbotsford,1330000,PI,18/03/2017,Yarra,-37.8073,144.9952,Northern Metropolitan,4019
